id,source,short_name,title,doc_type,url,published_date,local_path,sha256,downloaded_at,status
ecb:ecb_listofsupervisedentities202411,ecb,ecb_listofsupervisedentities202411,List of supervised entities – Cut-off date 1 September 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202411.en.pdf,2024-11-06,docs/guidance/ecb/ecb_listofsupervisedentities202411.pdf,ec6a62873d650894ce78c13ed6c40f2439d4558726098f845905c5eb438c459a,2026-04-24T22:26:49.625268+00:00,ok
ecb:ecb_written_overview241104_30be59fdd0,ecb,ecb_written_overview241104_30be59fdd0,Written overview for the exchange of views of the Chair of the Supervisory Board of the ECB with the Eurogroup on 4 November 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.written_overview241104~30be59fdd0.en.pdf,2024-11-04,docs/guidance/ecb/ecb_written_overview241104_30be59fdd0.pdf,dc59ea1a1c93e88250ec6ca3096c7528e7e63bc2d88b76384c8e896a4c026b6b,2026-04-24T22:26:51.108797+00:00,ok
ecb:ecb_supervisorybankingstatistics_second_quarter_2024_202409_ccd5,ecb,ecb_supervisorybankingstatistics_second_quarter_2024_202409_ccd5,Supervisory Banking Statistics for significant institutions - Second quarter 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.supervisorybankingstatistics_second_quarter_2024_202409~ccd5ded94e.en.pdf,2024-09-23,docs/guidance/ecb/ecb_supervisorybankingstatistics_second_quarter_2024_202409_ccd5.pdf,37fb1a5878e48680c12af56f8324280fbe5c5a88974ebcd4150f4453cd2cbd86,2026-04-24T22:26:52.791406+00:00,ok
ecb:ecb_listofsupervisedentities202408,ecb,ecb_listofsupervisedentities202408,List of supervised entities – Cut-off date 1 July 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202408.en.pdf,2024-08-19,docs/guidance/ecb/ecb_listofsupervisedentities202408.pdf,41dba7e8752855bcb0790f332febf5abfc1d690d3c6f462679b0318a31a49c57,2026-04-24T22:26:54.183144+00:00,ok
ecb:ecb_ifrs9novelrisks_202407_5e0eb30b5c,ecb,ecb_ifrs9novelrisks_202407_5e0eb30b5c,IFRS 9 overlays and model improvements for novel risks,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.IFRS9novelrisks_202407~5e0eb30b5c.en.pdf,2024-07-29,docs/guidance/ecb/ecb_ifrs9novelrisks_202407_5e0eb30b5c.pdf,8bb32c610db51c343f2306b2b117ade896cee77112e75240fbc1283dc06befb9,2026-04-24T22:26:55.648822+00:00,ok
ecb:ecb_pubcon202407_draftguide,ecb,ecb_pubcon202407_draftguide,Draft guide on governance and risk culture,publication,https://www.bankingsupervision.europa.eu/legalframework/publiccons/pdf/ssm.pubcon202407_draftguide.en.pdf,2024-07-24,docs/guidance/ecb/ecb_pubcon202407_draftguide.pdf,0bc0668cf8a31a0ee49781c378c6354990db6203fcf6e8e6d60511fa4608bd67,2026-04-24T22:26:57.218282+00:00,ok
ecb:ecb_reportondigitalisation_202407_3f4de7a771,ecb,ecb_reportondigitalisation_202407_3f4de7a771,Digitalisation: key assessment criteria and collection of sound practices,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.reportondigitalisation_202407~3f4de7a771.en.pdf,2024-07-11,docs/guidance/ecb/ecb_reportondigitalisation_202407_3f4de7a771.pdf,6014c99a178b6bacce64f49131d4293b0f3e7f6f294d0b87d46062efe10716ad,2026-04-24T22:26:58.628790+00:00,ok
ecb:ecb_govcstatement202406_db174e6450,ecb,ecb_govcstatement202406_db174e6450,Governing Council statement on macroprudential policies,publication,https://www.bankingsupervision.europa.eu/press/other-publications/publications/govcstatement/pdf/ssm.govcstatement202406~db174e6450.en.pdf,2024-06-28,docs/guidance/ecb/ecb_govcstatement202406_db174e6450.pdf,df3d4581e2ced887934752e072088ebec8e7c8bc62355c11369c49440716f8a8,2026-04-24T22:27:00.132025+00:00,ok
ecb:ecb_supervisorybankingstatistics_first_quarter_2024_202406_25d2a,ecb,ecb_supervisorybankingstatistics_first_quarter_2024_202406_25d2a,Supervisory Banking Statistics for significant institutions - First quarter 2023,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.supervisorybankingstatistics_first_quarter_2024_202406~25d2a57276.en.pdf,2024-06-26,docs/guidance/ecb/ecb_supervisorybankingstatistics_first_quarter_2024_202406_25d2a.pdf,0fe8ab971ce67f0081935cb54f083257ab74233cfa49404e48c21ffaecfdba58,2026-04-24T22:27:01.955065+00:00,ok
ecb:ecb_listofsupervisedentities202406,ecb,ecb_listofsupervisedentities202406,List of supervised entities – Cut-off date 1 May 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.listofsupervisedentities202406.en.pdf,2024-06-21,docs/guidance/ecb/ecb_listofsupervisedentities202406.pdf,ba59a44831fde8ade0484fbdf9be8410a411a97d70054db8195b0c57ad69b355,2026-04-24T22:27:03.189747+00:00,ok
